plan_index,line_number,motion,movement_type,pcb_x_mm,pcb_y_mm,machine_x_mm,machine_y_mm,programmed_z_mm,surface_z_machine_mm,delta_z_mm,final_z_mm,feed_mm_min,uses_surface_map
43,5,G1,movimiento_lineal,4.199999999999999,0.0,104.2,200.0,-0.1,3.039,0.03899999999999999,2.939,240.0,True
44,5,G1,movimiento_lineal,4.3,0.0,104.3,200.0,-0.1,3.041,0.04100000000000002,2.941,240.0,True
45,5,G1,movimiento_lineal,4.3999999999999995,0.0,104.4,200.0,-0.1,3.043,0.04299999999999998,2.943,240.0,True
46,5,G1,movimiento_lineal,4.5,0.0,104.5,200.0,-0.1,3.045,0.04500000000000001,2.945,240.0,True
47,5,G1,movimiento_lineal,4.6000000000000005,0.0,104.6,200.0,-0.1,3.047,0.047000000000000035,2.947,240.0,True
48,5,G1,movimiento_lineal,4.7,0.0,104.7,200.0,-0.1,3.049,0.048999999999999995,2.949,240.0,True
49,5,G1,movimiento_lineal,4.800000000000001,0.0,104.8,200.0,-0.1,3.051,0.05100000000000002,2.951,240.0,True
50,5,G1,movimiento_lineal,4.9,0.0,104.9,200.0,-0.1,3.053,0.05300000000000002,2.953,240.0,True
51,5,G1,movimiento_lineal,5.0,0.0,105.0,200.0,-0.1,3.055,0.05500000000000001,2.955,240.0,True
52,5,G1,movimiento_lineal,5.1,0.0,105.1,200.0,-0.1,3.057,0.057,2.957,240.0,True
53,5,G1,movimiento_lineal,5.2,0.0,105.2,200.0,-0.1,3.059,0.059,2.959,240.0,True
54,5,G1,movimiento_lineal,5.3,0.0,105.3,200.0,-0.1,3.061,0.061000000000000026,2.961,240.0,True
55,5,G1,movimiento_lineal,5.4,0.0,105.4,200.0,-0.1,3.063,0.06300000000000001,2.963,240.0,True
56,5,G1,movimiento_lineal,5.5,0.0,105.5,200.0,-0.1,3.065,0.065,2.965,240.0,True
57,5,G1,movimiento_lineal,5.6,0.0,105.6,200.0,-0.1,3.067,0.067,2.967,240.0,True
58,5,G1,movimiento_lineal,5.699999999999999,0.0,105.7,200.0,-0.1,3.069,0.06899999999999999,2.969,240.0,True
59,5,G1,movimiento_lineal,5.8,0.0,105.8,200.0,-0.1,3.071,0.07100000000000004,2.971,240.0,True
60,5,G1,movimiento_lineal,5.8999999999999995,0.0,105.9,200.0,-0.1,3.073,0.07299999999999998,2.973,240.0,True
61,5,G1,movimiento_lineal,6.0,0.0,106.0,200.0,-0.1,3.075,0.07500000000000001,2.975,240.0,True
62,5,G1,movimiento_lineal,6.1,0.0,106.1,200.0,-0.1,3.0778,0.0778,2.9778,240.0,True
63,5,G1,movimiento_lineal,6.200000000000001,0.0,106.2,200.0,-0.1,3.0806,0.08060000000000003,2.9806,240.0,True
64,5,G1,movimiento_lineal,6.300000000000001,0.0,106.3,200.0,-0.1,3.0834,0.08340000000000003,2.9834,240.0,True
65,5,G1,movimiento_lineal,6.4,0.0,106.4,200.0,-0.1,3.0862,0.08620000000000001,2.9861999999999997,240.0,True
66,5,G1,movimiento_lineal,6.5,0.0,106.5,200.0,-0.1,3.089,0.08900000000000001,2.989,240.0,True
67,5,G1,movimiento_lineal,6.6000000000000005,0.0,106.6,200.0,-0.1,3.0918,0.09180000000000005,2.9918,240.0,True
68,5,G1,movimiento_lineal,6.7,0.0,106.7,200.0,-0.1,3.0946,0.09459999999999999,2.9945999999999997,240.0,True
69,5,G1,movimiento_lineal,6.8,0.0,106.8,200.0,-0.1,3.0974,0.09740000000000003,2.9974,240.0,True
70,5,G1,movimiento_lineal,6.8999999999999995,0.0,106.9,200.0,-0.1,3.1002,0.10019999999999997,3.0002,240.0,True
71,5,G1,movimiento_lineal,7.0,0.0,107.0,200.0,-0.1,3.103,0.10300000000000001,3.003,240.0,True
72,5,G1,movimiento_lineal,7.1,0.0,107.1,200.0,-0.1,3.1058,0.10579999999999999,3.0058,240.0,True
73,5,G1,movimiento_lineal,7.199999999999999,0.0,107.2,200.0,-0.1,3.1086,0.10859999999999997,3.0086,240.0,True
74,5,G1,movimiento_lineal,7.299999999999999,0.0,107.3,200.0,-0.1,3.1114,0.11139999999999997,3.0114,240.0,True
75,5,G1,movimiento_lineal,7.4,0.0,107.4,200.0,-0.1,3.1142,0.11420000000000002,3.0141999999999998,240.0,True
76,5,G1,movimiento_lineal,7.5,0.0,107.5,200.0,-0.1,3.117,0.117,3.017,240.0,True
77,5,G1,movimiento_lineal,7.6,0.0,107.6,200.0,-0.1,3.1198,0.11979999999999999,3.0198,240.0,True
78,5,G1,movimiento_lineal,7.700000000000001,0.0,107.7,200.0,-0.1,3.1226000000000003,0.12260000000000004,3.0226,240.0,True
79,5,G1,movimiento_lineal,7.800000000000001,0.0,107.8,200.0,-0.1,3.1254,0.12540000000000004,3.0254,240.0,True
80,5,G1,movimiento_lineal,7.9,0.0,107.9,200.0,-0.1,3.1282,0.12820000000000004,3.0282,240.0,True
81,5,G1,movimiento_lineal,8.0,0.0,108.0,200.0,-0.1,3.1310000000000002,0.131,3.031,240.0,True
82,5,G1,movimiento_lineal,8.100000000000001,0.0,108.1,200.0,-0.1,3.1346,0.13460000000000005,3.0345999999999997,240.0,True
83,5,G1,movimiento_lineal,8.2,0.0,108.2,200.0,-0.1,3.1382,0.1382,3.0382,240.0,True
84,5,G1,movimiento_lineal,8.3,0.0,108.3,200.0,-0.1,3.1418,0.14180000000000004,3.0418,240.0,True
85,5,G1,movimiento_lineal,8.399999999999999,0.0,108.4,200.0,-0.1,3.1454,0.14539999999999997,3.0454,240.0,True
86,5,G1,movimiento_lineal,8.5,0.0,108.5,200.0,-0.1,3.149,0.14900000000000002,3.049,240.0,True
87,5,G1,movimiento_lineal,8.6,0.0,108.6,200.0,-0.1,3.1526,0.1526,3.0526,240.0,True
88,5,G1,movimiento_lineal,8.7,0.0,108.7,200.0,-0.1,3.1562,0.15619999999999998,3.0562,240.0,True
89,5,G1,movimiento_lineal,8.799999999999999,0.0,108.8,200.0,-0.1,3.1598,0.15979999999999997,3.0598,240.0,True
90,5,G1,movimiento_lineal,8.9,0.0,108.9,200.0,-0.1,3.1634,0.16340000000000002,3.0634,240.0,True
91,5,G1,movimiento_lineal,9.0,0.0,109.0,200.0,-0.1,3.167,0.167,3.0669999999999997,240.0,True
92,5,G1,movimiento_lineal,9.1,0.0,109.1,200.0,-0.1,3.1706,0.1706,3.0705999999999998,240.0,True
93,5,G1,movimiento_lineal,9.200000000000001,0.0,109.2,200.0,-0.1,3.1742,0.17420000000000005,3.0742,240.0,True
94,5,G1,movimiento_lineal,9.3,0.0,109.3,200.0,-0.1,3.1778,0.1778,3.0778,240.0,True
95,5,G1,movimiento_lineal,9.4,0.0,109.4,200.0,-0.1,3.1814,0.1814,3.0814,240.0,True
96,5,G1,movimiento_lineal,9.5,0.0,109.5,200.0,-0.1,3.185,0.185,3.085,240.0,True
97,5,G1,movimiento_lineal,9.600000000000001,0.0,109.6,200.0,-0.1,3.1886,0.18860000000000005,3.0886,240.0,True
98,5,G1,movimiento_lineal,9.7,0.0,109.7,200.0,-0.1,3.1922,0.19219999999999998,3.0922,240.0,True
99,5,G1,movimiento_lineal,9.8,0.0,109.8,200.0,-0.1,3.1958,0.19580000000000003,3.0958,240.0,True
100,5,G1,movimiento_lineal,9.899999999999999,0.0,109.9,200.0,-0.1,3.1994,0.19939999999999997,3.0993999999999997,240.0,True
101,5,G1,movimiento_lineal,10.0,0.0,110.0,200.0,-0.1,3.203,0.203,3.1029999999999998,240.0,True
102,5,G1,movimiento_lineal,10.1,0.0,110.1,200.0,-0.1,3.2074,0.2074,3.1073999999999997,240.0,True
103,5,G1,movimiento_lineal,10.2,0.0,110.2,200.0,-0.1,3.2118,0.2118,3.1118,240.0,True
104,5,G1,movimiento_lineal,10.299999999999999,0.0,110.3,200.0,-0.1,3.2162,0.21619999999999998,3.1162,240.0,True
105,5,G1,movimiento_lineal,10.4,0.0,110.4,200.0,-0.1,3.2206,0.22060000000000005,3.1206,240.0,True
106,5,G1,movimiento_lineal,10.5,0.0,110.5,200.0,-0.1,3.225,0.225,3.125,240.0,True
107,5,G1,movimiento_lineal,10.6,0.0,110.6,200.0,-0.1,3.2294,0.22940000000000002,3.1294,240.0,True
108,5,G1,movimiento_lineal,10.700000000000001,0.0,110.7,200.0,-0.1,3.2338,0.23380000000000006,3.1338,240.0,True
109,5,G1,movimiento_lineal,10.8,0.0,110.8,200.0,-0.1,3.2382,0.23820000000000005,3.1382,240.0,True
110,5,G1,movimiento_lineal,10.9,0.0,110.9,200.0,-0.1,3.2426,0.24260000000000004,3.1426,240.0,True
111,5,G1,movimiento_lineal,11.0,0.0,111.0,200.0,-0.1,3.247,0.247,3.147,240.0,True
